"One of us snores","Frequent bathroom","Sick","No longer physically intimate","prefer different room temperature","Argument or fight","Not enough space","Dont want to share the covers","Sleep with child","Different sleep time","att20","Hypothesis 1","Hypothesis 2","Hypothesis 3","Age","StartDate","EndDate","Which of the following best describes your current relationship status?","How long have you been in your current relationship? If you are not currently in a relationship, please answer according to your last relationship.","When both you and your partner are at home, how often do you sleep in separate beds?","When you're not sleeping in the same bed as your partner, where do you typically sleep?","att7","When you're not sleeping in the same bed, where does your partner typically sleep?","att9","When was the first time you slept in separate beds?","Which of the following best describes your current occupation?","att26","Gender","Household Income","Education","Location (Census Region)"
"-","-","-","-","-","-","-","-","One of us needs to sleep with a child","-","-","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","30-44",9/7/14 11:16 PM,9/7/14 11:18 PM,"Married","1-5 years","A few times per week","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Education, Training, and Library Occupations",,"Male","$50,000 - $99,999","Graduate degree","Mountain"
"-","-","-","-","-","-","-","-","One of us needs to sleep with a child","Night working/very different sleeping times","-","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","30-44",9/7/14 11:15 PM,9/7/14 11:18 PM,"Married","11-15 years","A few times per month","Separate bedroom",,"Separate bedroom",,"Immediately/ We've always slept in separate beds","Computer and Mathematical Occupations",,"Male","$100,000 - $149,999","Bachelor degree","Mountain"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 11:12 PM,9/7/14 11:13 PM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Legal Occupations",,"Male","$100,000 - $149,999","Graduate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 11:12 PM,9/7/14 11:13 PM,"Married","11-15 years","Never",,,,,,"Construction and Extraction Occupations",,"Male",,"Bachelor degree","New England"
"One of us snores","-","-","-","-","We've had an argument or fight","-","-","-","-","-","Strongly disagree","Strongly disagree","Strongly disagree","30-44",9/7/14 11:08 PM,9/7/14 11:11 PM,"Married","16-20 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Education, Training, and Library Occupations",,"Male",,"Bachelor degree","Mountain"
"One of us snores","-","One of us is sick","-","-","-","-","-","-","-","-","Neither agree nor disagree","Somewhat agree","Somewhat disagree","30-44",9/7/14 11:01 PM,9/7/14 11:03 PM,"Single, but cohabiting with a significant other","6-10 years","Once a month or less","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Other (please specify)","Data Entry for a Marketing Company","Male","$50,000 - $99,999","Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","One of us needs to sleep with a child","-","Other (please specify)","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","30-44",9/7/14 10:59 PM,9/7/14 11:01 PM,"Married","16-20 years","A few times per week","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Sales and Related Occupations",,"Male","$100,000 - $149,999","Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","-","Night working/very different sleeping times","-","Neither agree nor disagree","Somewhat disagree","Strongly disagree","30-44",9/7/14 10:58 PM,9/7/14 11:00 PM,"Married","11-15 years","A few times per week","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within 11-15 years of our relationship","Transportation and Materials Moving Occupations",,"Male",,"Bachelor degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","30-44",9/7/14 10:58 PM,9/7/14 11:01 PM,"Married","6-10 years","Once a month or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Computer and Mathematical Occupations",,"Male","$100,000 - $149,999","Some college or Associate degree","New England"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 10:55 PM,9/7/14 10:56 PM,"Married","11-15 years","Never",,,,,,"Building and Grounds Cleaning and Maintenance Occupations",,"Male","$25,000 - $49,999","High school degree","Middle Atlantic"
"-","-","One of us is sick","-","-","-","-","-","-","-","-","Somewhat disagree","Somewhat disagree","Strongly disagree","30-44",9/7/14 10:53 PM,9/7/14 10:55 PM,"Married","11-15 years","Once a month or less","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"Separate bedroom",,"Within the first 1-5 years of our relationship","Education, Training, and Library Occupations",,"Male","$50,000 - $99,999","Graduate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 10:53 PM,9/7/14 10:53 PM,"Married","11-15 years","Never",,,,,,"Computer and Mathematical Occupations",,"Male","$50,000 - $99,999","Graduate degree","East North Central"
"-","-","-","-","-","We've had an argument or fight","-","-","-","Night working/very different sleeping times","-","Neither agree nor disagree","Somewhat disagree","Strongly disagree","18-29",9/7/14 10:53 PM,9/7/14 10:56 PM,"Single, but cohabiting with a significant other","1-5 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Business and Financial Operations Occupations",,"Male","$50,000 - $99,999","Bachelor degree","New England"
"-","-","-","-","-","-","-","-","One of us needs to sleep with a child","-","-","Strongly disagree","Strongly disagree","Strongly disagree","30-44",9/7/14 10:47 PM,9/7/14 10:51 PM,"Married","11-15 years","Once a month or less","Other (please specify)","kids bed","My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 11-15 years of our relationship","Computer and Mathematical Occupations",,"Male","$150,000+","Graduate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 10:48 PM,9/7/14 10:49 PM,"Married","More than 20 years","Never",,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,"Male",,"Bachelor degree","Middle Atlantic"
"-","-","-","-","-","We've had an argument or fight","-","-","-","-","-","Somewhat agree","Strongly agree","Strongly disagree","18-29",9/7/14 10:33 PM,9/7/14 10:35 PM,"Single, but cohabiting with a significant other","6-10 years","Once a year or less","Separate bedroom",,"Separate bedroom",,"Within the first 1-5 years of our relationship","Sales and Related Occupations",,"Male","$25,000 - $49,999","Some college or Associate degree","Mountain"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","30-44",9/7/14 10:32 PM,9/7/14 10:35 PM,"Married","More than 20 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 6-10 years of our relationship","Education, Training, and Library Occupations",,"Male",,"Graduate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 10:28 PM,9/7/14 10:29 PM,"Married","6-10 years","Never",,,,,,"Sales and Related Occupations",,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 10:27 PM,9/7/14 10:28 PM,"Married","6-10 years","Never",,,,,,"Sales and Related Occupations",,"Male",,"Bachelor degree","Pacific"
"One of us snores","-","-","-","-","-","-","-","-","Night working/very different sleeping times","-","Neither agree nor disagree","Strongly agree","Somewhat disagree","30-44",9/7/14 10:25 PM,9/7/14 10:27 PM,"Married","11-15 years","Once a year or less","Separate bedroom",,"Separate bedroom",,"Within 6-10 years of our relationship","Transportation and Materials Moving Occupations",,"Male","$25,000 - $49,999","Some college or Associate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 10:25 PM,9/7/14 10:25 PM,"Married","6-10 years","Never",,,,,,"Education, Training, and Library Occupations",,"Male","$50,000 - $99,999","Bachelor degree","New England"
"-","-","-","-","-","We've had an argument or fight","-","-","-","Night working/very different sleeping times","Other (please specify)","Strongly agree","Somewhat agree","Somewhat agree","30-44",9/7/14 10:24 PM,9/7/14 10:30 PM,"In a domestic partnership or civil union","11-15 years","A few times per week","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 6-10 years of our relationship","Other (please specify)","Property Management; Desk Clerk","Male","$25,000 - $49,999","Some college or Associate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 10:19 PM,9/7/14 10:25 PM,"Single, but cohabiting with a significant other","Less than 1 year","Never",,,,,,"Architecture and Engineering Occupations",,"Male","$25,000 - $49,999","Bachelor degree","East North Central"
"-","-","-","-","-","-","Not enough space","-","-","-","-","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","18-29",9/7/14 10:23 PM,9/7/14 10:27 PM,"Single, but cohabiting with a significant other","1-5 years","Once a month or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Construction and Extraction Occupations",,"Male",,"High school degree","West South Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 10:22 PM,9/7/14 10:22 PM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Food Preparation and Serving Related Occupations",,"Male","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
"One of us snores","-","-","-","We have different temperature preferences for the room","We've had an argument or fight","-","-","-","Night working/very different sleeping times","-","Strongly agree","Neither agree nor disagree","Somewhat disagree","30-44",9/7/14 10:20 PM,9/7/14 10:23 PM,"Married","16-20 years","Once a month or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Other (please specify)","All of the above: Homemaker","Male","$150,000+","Some college or Associate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 10:19 PM,9/7/14 10:20 PM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Life, Physical, and Social Science Occupations",,"Male",,"Bachelor degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 10:16 PM,9/7/14 10:17 PM,"Married","1-5 years","Never",,,,,,"Business and Financial Operations Occupations",,"Male","$100,000 - $149,999","Graduate degree","Mountain"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 10:11 PM,9/7/14 10:12 PM,"Married","6-10 years","Never",,,,,,"Computer and Mathematical Occupations",,"Male","$25,000 - $49,999","Bachelor degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 10:11 PM,9/7/14 10:12 PM,"Widowed","1-5 years","Never",,,,,,"Farming, Fishing, and Forestry Occupations",,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 10:10 PM,9/7/14 10:11 PM,"Married","More than 20 years","Never",,,,,,"Healthcare Support Occupations",,"Male","$100,000 - $149,999","Bachelor degree","Mountain"
"-","-","-","-","-","-","-","-","One of us needs to sleep with a child","-","-","Strongly disagree","Strongly disagree","Strongly disagree","30-44",9/7/14 10:09 PM,9/7/14 10:11 PM,"Married","6-10 years","Once a month or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 6-10 years of our relationship","Arts, Design, Entertainment, Sports, and Media Occupations",,"Male",,"Some college or Associate degree","Mountain"
"One of us snores","-","-","-","-","-","Not enough space","-","-","-","-","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","18-29",9/7/14 10:07 PM,9/7/14 10:10 PM,"Single, but cohabiting with a significant other","Less than 1 year","Every night","Shared bedroom, different bed",,"Shared bedroom, different bed",,"Immediately/ We've always slept in separate beds","Arts, Design, Entertainment, Sports, and Media Occupations",,"Male",,"High school degree","East North Central"
"-","-","-","-","-","-","-","-","-","Night working/very different sleeping times","-","Strongly disagree","Strongly disagree","Strongly disagree","30-44",9/7/14 10:07 PM,9/7/14 10:08 PM,"Married","6-10 years","Once a year or less","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Healthcare Practitioners and Technical Occupations",,"Male","$150,000+","Graduate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 10:06 PM,9/7/14 10:07 PM,"Married","6-10 years","Never",,,,,,"Architecture and Engineering Occupations",,"Male","$50,000 - $99,999","Bachelor degree","East South Central"
"-","-","-","-","-","-","-","-","-","Night working/very different sleeping times","-","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","30-44",9/7/14 10:01 PM,9/7/14 10:04 PM,"Married","6-10 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Immediately/ We've always slept in separate beds","Computer and Mathematical Occupations",,"Male","$100,000 - $149,999","Bachelor degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 10:01 PM,9/7/14 10:03 PM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Sales and Related Occupations",,"Male","$25,000 - $49,999","Some college or Associate degree","West South Central"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Strongly disagree","Strongly disagree","Strongly disagree","30-44",9/7/14 9:59 PM,9/7/14 10:02 PM,"Married","11-15 years","Once a year or less","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within 6-10 years of our relationship","Education, Training, and Library Occupations",,"Male","$50,000 - $99,999","Some college or Associate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 9:53 PM,9/7/14 9:54 PM,"Married","16-20 years","Never",,,,,,"Sales and Related Occupations",,"Male","$100,000 - $149,999","Bachelor degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 9:53 PM,9/7/14 9:53 PM,"Married","11-15 years","Every night",,,,,,,,,,,
"-","-","-","-","-","We've had an argument or fight","-","-","-","-","-","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","18-29",9/7/14 9:52 PM,9/7/14 10:03 PM,"Married","6-10 years","A few times per month","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Life, Physical, and Social Science Occupations",,"Male","$50,000 - $99,999","Graduate degree","Mountain"
"-","-","One of us is sick","-","-","-","-","-","-","-","-","Neither agree nor disagree","Somewhat disagree","Strongly disagree","30-44",9/7/14 9:51 PM,9/7/14 9:54 PM,"Married","16-20 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Architecture and Engineering Occupations",,"Male","$100,000 - $149,999","Bachelor degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 9:43 PM,9/7/14 9:44 PM,"Married","6-10 years","Never",,,,,,"Computer and Mathematical Occupations",,"Male",,"Bachelor degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 9:40 PM,9/7/14 9:40 PM,"Married","1-5 years","Never",,,,,,"Other (please specify)","Retired","Male","$25,000 - $49,999","Some college or Associate degree","West North Central"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Somewhat agree","Strongly agree","Neither agree nor disagree","45-60",9/7/14 9:35 PM,9/7/14 9:36 PM,"Married","More than 20 years","Every night","Separate bedroom",,"Separate bedroom",,"After 20 years of our relationship","Sales and Related Occupations",,"Male",,"Graduate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 9:34 PM,9/7/14 9:35 PM,"Married","More than 20 years","Never",,,,,,"Management Occupations",,"Male",,"High school degree","West South Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 9:32 PM,9/7/14 9:34 PM,"Married","16-20 years","Never",,,,,,"Business and Financial Operations Occupations",,"Male","$100,000 - $149,999","Some college or Associate degree","Pacific"
"-","-","One of us is sick","-","-","We've had an argument or fight","-","-","-","Night working/very different sleeping times","-","Neither agree nor disagree","Somewhat agree","Strongly disagree","45-60",9/7/14 9:32 PM,9/7/14 9:34 PM,"Married","16-20 years","Once a month or less","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"Separate bedroom",,"Within 16-20 years of our relationship","Healthcare Practitioners and Technical Occupations",,"Male","$50,000 - $99,999","Graduate degree","New England"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 9:32 PM,9/7/14 9:33 PM,"Single, but cohabiting with a significant other","Less than 1 year","Never",,,,,,"Other (please specify)","retired","Male",,"Bachelor degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 9:29 PM,9/7/14 9:34 PM,"Married","11-15 years","Never",,,,,,"Other (please specify)","military","Male","$100,000 - $149,999","Bachelor degree","South Atlantic"
"-","-","-","-","-","We've had an argument or fight","-","-","-","-","Other (please specify)","Strongly disagree","Strongly disagree","Neither agree nor disagree","18-29",9/7/14 9:28 PM,9/7/14 9:30 PM,"Married","1-5 years","Every night","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Business and Financial Operations Occupations",,"Male","$150,000+","Graduate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 9:27 PM,9/7/14 9:27 PM,"Married","16-20 years","Never",,,,,,"Other (please specify)","retired","Male","$25,000 - $49,999","High school degree","Pacific"
"One of us snores","One of us makes frequent bathroom trips in the night","-","We are no longer physically intimate","-","-","-","Do not want to share the covers","-","-","-","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","45-60",9/7/14 9:26 PM,9/7/14 9:30 PM,"Married","11-15 years","A few times per month","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 6-10 years of our relationship","Building and Grounds Cleaning and Maintenance Occupations",,"Male","$25,000 - $49,999","Some college or Associate degree","West North Central"
"One of us snores","-","-","-","-","-","-","-","One of us needs to sleep with a child","-","-","Somewhat disagree","Somewhat disagree","Strongly disagree","30-44",9/7/14 9:26 PM,9/7/14 9:29 PM,"Married","11-15 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 6-10 years of our relationship","Business and Financial Operations Occupations",,"Male","$100,000 - $149,999","Bachelor degree","West North Central"
